,2009,2010,2011,2012,2013,2014,2015,2016
Oliveira de Frades,33,34,38,46,51,47,48,45
Penalva do Castelo,48,44,32,36,45,38,35,34
Santa Comba Dão,62,44,35,49,47,57,46,47
São Pedro do Sul,81,74,88,69,74,69,58,76
Sátão,66,57,62,64,56,59,59,46
Tondela,137,138,113,102,118,131,111,115
Vila Nova de Paiva,22,15,11,21,32,17,24,22
Viseu,241,279,277,314,297,267,297,312
Vouzela,46,40,35,42,54,40,38,42
Castelo Branco,224,220,236,221,180,199,184,172
Idanha-a-Nova,86,98,75,68,75,61,66,58
Oleiros,42,39,33,44,33,29,33,26
Penamacor,44,38,47,50,37,41,26,46
Proença-a-Nova,60,55,43,55,44,49,49,48
Vila Velha de Ródão,38,35,32,36,33,21,30,31
Abrantes,179,193,173,196,175,175,160,174
Alcanena,49,46,51,52,55,58,51,64
Constância,22,14,12,14,11,18,24,15
Entroncamento,42,46,32,39,47,36,40,49
Ferreira do Zêzere,58,38,36,44,39,44,35,40
Mação,52,68,58,50,46,67,37,57
Ourém,161,160,147,173,166,174,154,162
Sardoal,14,18,19,19,17,14,20,15
Sertã,66,47,57,72,74,51,68,69
Tomar,145,141,153,148,135,140,143,135
Torres Novas,137,130,155,153,130,143,123,112
Vila de Rei,33,39,34,39,21,33,33,39
Vila Nova da Barquinha,17,19,24,25,25,25,28,25
Almeida,47,53,46,50,46,40,51,40
Belmonte,41,39,33,32,27,27,21,24
Celorico da Beira,28,38,34,35,36,28,36,28
Covilhã,162,166,149,158,176,137,176,173
Figueira de Castelo Rodrigo,32,36,31,29,27,26,34,14
Fornos de Algodres,32,48,24,41,24,28,31,35
Fundão,139,126,114,133,126,87,101,97
Gouveia,68,73,61,65,59,61,68,54
Guarda,152,154,120,149,113,142,152,135
Manteigas,24,19,11,17,30,19,13,12
Mêda,21,28,34,30,24,25,23,30
Pinhel,44,58,50,50,47,40,32,35
Sabugal,107,111,91,79,105,78,83,84
Seia,127,128,107,122,109,120,93,109
Trancoso,37,48,34,43,49,47,38,37
Alcochete,40,50,57,37,40,38,45,52
Almada,596,637,654,622,519,622,590,618
Amadora,496,476,506,492,449,485,507,497
Barreiro,228,259,251,234,231,251,261,256
Cascais,626,636,562,639,666,614,648,606
Lisboa,2840,2738,2357,2312,2256,2214,2175,2097
Loures,581,589,608,569,514,543,585,598
Mafra,186,197,201,192,193,211,179,208
Moita,180,198,159,179,186,198,197,221
Montijo,171,182,158,166,158,160,163,172
Odivelas,358,368,327,342,331,377,385,407
Oeiras,459,472,475,454,431,476,483,486
Palmela,181,196,166,214,200,198,242,217
Seixal,378,392,376,384,332,321,412,429
Sesimbra,125,152,141,149,136,117,155,151
Setúbal,330,365,320,362,374,376,412,387
Sintra,837,760,755,822,760,860,818,892
Vila Franca de Xira,392,384,353,330,333,345,330,362
Alcácer do Sal,65,56,54,91,60,50,60,59
Grândola,70,82,75,67,81,58,83,74
Odemira,126,121,130,123,103,105,115,125
Santiago do Cacém,88,102,104,97,104,93,122,91
Sines,42,46,46,60,29,33,34,38
Aljustrel,45,55,57,47,56,48,53,38
Almodôvar,46,46,54,49,51,44,41,37
Alvito,25,27,22,29,21,14,19,13
Barrancos,17,17,21,7,9,9,9,6
Beja,167,190,176,155,112,150,156,138
Castro Verde,37,44,44,39,30,23,36,30
Cuba,28,32,31,31,16,23,35,34
Ferreira do Alentejo,43,50,51,36,53,37,45,40
Mértola,39,38,54,44,36,33,45,41
Moura,90,88,74,59,52,41,52,60
Ourique,54,51,52,55,44,33,49,51
Serpa,109,97,85,85,73,89,92,91
Vidigueira,37,43,31,32,31,30,39,25
Almeirim,84,88,68,78,81,81,79,98
Alpiarça,37,44,30,34,36,44,16,43
Azambuja,99,94,97,77,71,92,95,84
Benavente,74,90,86,92,83,75,85,90
Cartaxo,97,100,80,94,84,93,78,72
Chamusca,47,65,44,54,47,41,35,45
Coruche,101,115,115,99,102,76,95,98
Golegã,26,27,18,23,23,38,28,23
Rio Maior,87,76,69,73,65,71,87,83
Salvaterra de Magos,78,78,85,84,77,91,100,106
Santarém,256,277,239,208,206,219,180,197
Alter do Chão,16,21,15,28,15,22,27,21
Arronches,21,27,34,19,24,22,26,16
Avis,35,35,28,28,33,29,30,26
Campo Maior,36,44,32,35,28,30,32,23
Castelo de Vide,17,28,27,25,24,17,27,25
Crato,30,27,32,38,34,24,18,28
Elvas,89,79,90,83,94,83,88,103
Fronteira,25,16,18,19,16,11,12,16
Gavião,48,39,37,50,41,43,34,42
Marvão,16,22,12,17,13,12,11,19
Monforte,18,11,13,17,13,21,18,11
Nisa,50,65,60,54,40,49,48,49
Ponte de Sor,99,86,81,99,78,89,79,82
Portalegre,99,87,98,78,87,85,80,85
Sousel,43,32,30,29,26,43,20,25
Alandroal,35,25,24,26,30,27,28,26
Arraiolos,34,42,27,29,26,42,28,27
Borba,34,26,27,31,24,39,32,32
Estremoz,80,88,88,111,97,87,63,75
Évora,193,177,185,173,174,185,197,211
Montemor-o-Novo,96,104,84,85,90,82,88,80
Mora,36,35,33,33,31,26,19,32
Mourão,21,20,20,9,5,8,12,13
Portel,34,23,32,37,21,27,46,37
Redondo,27,34,36,31,30,32,31,32
Reguengos de Monsaraz,59,58,39,52,61,62,57,42
Vendas Novas,37,42,37,47,45,45,49,36
Viana do Alentejo,39,30,22,33,48,35,34,29
