,2009,2010,2011,2012,2013,2014,2015,2016
Ribeira de Pena,6,6,6,5,3,4,2,4
Valpaços,17,15,6,17,25,8,9,8
Vila Pouca de Aguiar,11,10,6,12,11,5,6,9
Amarante,26,30,23,19,19,10,15,19
Baião,9,7,9,9,5,6,5,2
Castelo de Paiva,4,0,3,6,1,5,1,3
Celorico de Basto,9,6,7,15,8,7,6,6
Cinfães,0,9,5,7,6,12,10,4
Felgueiras,21,20,11,21,18,19,32,22
Lousada,18,10,18,11,14,12,13,12
Marco de Canaveses,19,15,16,18,18,13,16,22
Paços de Ferreira,15,13,15,9,14,9,14,12
Penafiel,13,23,17,18,16,12,23,22
Resende,4,9,0,8,2,4,6,3
Alijó,3,8,7,9,9,9,4,6
Armamar,0,4,3,5,2,4,2,0
Carrazeda de Ansiães,5,0,5,3,0,3,8,6
Freixo de Espada à Cinta,10,7,4,2,5,4,4,7
Lamego,11,14,14,11,9,12,15,8
Mesão Frio,0,0,0,4,3,0,0,3
Moimenta da Beira,4,6,5,5,8,6,8,6
Murça,3,0,5,2,10,0,6,7
Penedono,3,5,3,1,4,3,4,0
Peso da Régua,7,10,5,7,9,7,16,10
Sabrosa,4,3,5,5,4,7,4,0
Santa Marta de Penaguião,4,3,5,5,8,9,3,7
São João da Pesqueira,3,5,9,5,3,3,5,0
Sernancelhe,0,3,0,3,4,2,6,4
Tabuaço,4,0,4,0,4,2,2,5
Tarouca,4,4,0,3,0,0,0,1
Torre de Moncorvo,3,6,9,4,4,9,4,12
Vila Nova de Foz Côa,3,5,5,5,6,3,5,4
Vila Real,10,12,25,13,16,22,16,13
Alfândega da Fé,3,5,7,10,6,4,3,1
Bragança,25,20,22,29,29,17,20,13
Macedo de Cavaleiros,6,10,10,12,19,10,14,5
Miranda do Douro,7,8,8,5,7,6,7,9
Mirandela,17,12,13,12,11,9,17,12
Mogadouro,11,5,11,7,6,8,12,7
Vila Flor,5,3,5,2,8,4,5,4
Vimioso,0,0,3,4,4,7,8,9
Vinhais,8,10,5,8,9,8,9,4
Alcobaça,26,33,34,51,29,25,37,36
Alenquer,32,34,29,15,18,17,17,23
Arruda dos Vinhos,14,5,13,10,6,7,7,4
Bombarral,11,10,6,11,14,13,14,14
Cadaval,7,9,10,7,9,7,14,7
Caldas da Rainha,38,33,46,34,47,43,42,39
Lourinhã,15,19,21,17,7,9,21,20
Nazaré,8,9,4,10,12,0,7,6
Óbidos,13,3,11,12,6,7,10,4
Peniche,27,21,18,25,21,17,15,21
Sobral de Monte Agraço,9,8,6,9,4,0,7,6
Torres Vedras,38,43,34,42,37,47,36,45
Águeda,16,23,25,23,26,18,23,25
Albergaria-a-Velha,15,12,13,6,12,7,7,9
Anadia,8,15,24,21,16,14,14,13
Aveiro,31,29,20,29,23,27,23,14
Estarreja,17,18,13,20,13,8,18,11
Ílhavo,24,20,15,17,17,20,5,7
Murtosa,6,4,10,6,5,7,9,7
Oliveira do Bairro,13,10,9,22,13,10,14,10
Ovar,30,24,32,23,30,24,25,22
Sever do Vouga,3,3,5,8,11,8,7,2
Vagos,13,12,5,10,9,16,7,7
Arganil,8,12,11,12,12,0,7,4
Cantanhede,22,18,8,16,15,13,16,14
Coimbra,43,36,52,40,32,37,30,35
Condeixa-a-Nova,5,6,11,8,6,5,7,11
Figueira da Foz,22,29,23,23,32,20,21,38
Góis,3,4,0,2,5,0,3,6
Lousã,8,7,4,10,5,6,6,2
Mealhada,11,4,6,4,6,4,5,7
