,2009,2010,2011,2012,2013,2014,2015,2016
Ourique,6,6,6,7,7,8,6,6
Serpa,14,15,16,17,17,19,21,18
Vidigueira,7,6,6,6,6,6,6,8
Almeirim,34,35,37,36,37,39,40,37
Alpiarça,9,10,10,10,10,12,10,11
Azambuja,19,18,22,21,21,21,21,20
Benavente,28,29,30,33,32,35,39,38
Cartaxo,42,43,46,46,47,46,47,48
Chamusca,6,6,7,9,9,11,10,10
Coruche,18,18,21,23,24,27,30,31
Golegã,8,7,8,8,8,7,7,8
Rio Maior,20,21,23,22,22,24,25,26
Salvaterra de Magos,15,14,16,19,16,21,22,25
Santarém,236,242,246,262,269,275,291,306
Alter do Chão,3,4,5,5,5,4,4,4
Arronches,6,6,7,8,8,8,8,7
Avis,5,4,4,4,4,4,3,3
Campo Maior,55,56,54,53,56,55,56,53
Castelo de Vide,7,8,8,8,7,8,8,8
Crato,2,2,2,2,2,3,3,3
Elvas,105,109,111,113,109,116,119,128
Fronteira,4,4,4,4,4,4,4,5
Gavião,2,2,2,2,2,2,2,2
Marvão,6,6,7,7,6,6,6,7
Monforte,5,5,5,5,5,5,5,5
Nisa,10,10,10,10,10,9,9,12
Ponte de Sor,25,29,28,27,25,26,31,29
Portalegre,105,110,111,116,116,113,113,110
Sousel,4,4,6,6,7,7,6,5
Alandroal,5,5,4,5,7,7,6,8
Arraiolos,4,5,4,5,10,9,8,8
Borba,9,9,9,10,11,11,12,11
Estremoz,18,20,19,22,24,22,24,25
Évora,279,298,320,341,391,405,414,436
Montemor-o-Novo,15,18,19,19,22,23,25,26
Mora,5,5,5,5,5,5,6,6
Mourão,2,2,2,1,1,1,1,1
Portel,2,2,3,6,6,6,6,6
Redondo,5,6,6,6,7,7,7,8
Reguengos de Monsaraz,12,11,11,10,10,10,11,14
Vendas Novas,14,15,15,16,15,16,16,17
Viana do Alentejo,5,5,5,4,3,3,4,6
Vila Viçosa,11,13,13,14,17,16,18,18
Albufeira,63,68,79,82,81,83,83,86
Alcoutim,6,6,6,6,5,5,6,8
Aljezur,5,6,6,9,10,11,10,11
Castro Marim,9,10,10,10,9,10,12,13
Faro,507,524,531,538,555,568,585,600
Lagoa,60,62,68,69,67,67,72,75
Lagos,68,71,80,82,84,87,88,95
Loulé,121,124,137,138,146,156,162,168
Monchique,4,3,3,4,4,4,6,6
Olhão,74,79,81,77,80,83,92,95
Portimão,263,275,280,283,301,308,321,336
São Brás de Alportel,26,28,31,34,33,34,35,37
Silves,29,35,38,41,39,44,45,45
Tavira,52,52,54,56,56,58,61,67
Vila do Bispo,4,3,5,3,3,3,3,4
Vila Real de Santo António,30,33,33,36,38,39,40,40
Vila do Porto,8,9,9,7,8,8,9,9
Lagoa [R.A.A.],22,25,25,25,28,27,29,28
Nordeste,5,5,4,4,4,4,4,4
Ponta Delgada,251,262,288,312,322,342,366,393
Povoação,5,5,5,6,7,7,9,9
Ribeira Grande,25,25,29,34,34,35,40,46
Vila Franca do Campo,5,6,6,7,10,13,13,13
Angra do Heroísmo,97,97,103,106,108,117,124,134
Vila da Praia da Vitória,28,31,33,38,44,44,46,47
Santa Cruz da Graciosa,3,4,3,1,1,2,3,3
Calheta [R.A.A.],2,3,3,3,2,2,2,4
Velas,8,9,9,11,11,12,13,13
Lajes do Pico,5,5,6,7,7,9,10,11
Madalena,4,5,4,4,4,4,4,3
São Roque do Pico,5,6,6,6,7,8,8,7
Horta,38,40,41,40,42,42,43,42
Lajes das Flores,0,0,0,0,0,0,0,0
