,2009,2010,2011,2012,2013,2014,2015,2016
Vila Nova da Barquinha,7376,7338,7331,7338,7332,7315,7294,7300
Almeida,7483,7355,7173,6951,6732,6547,6394,6263
Belmonte,6995,6915,6843,6766,6698,6625,6554,6519
Celorico da Beira,7925,7796,7666,7560,7458,7362,7284,7207
Covilhã,52438,52081,51549,50841,50118,49468,48964,48463
Figueira de Castelo Rodrigo,6427,6333,6253,6193,6118,6033,5956,5882
Fornos de Algodres,5120,5040,4979,4943,4904,4855,4809,4758
Fundão,29716,29432,29108,28750,28380,28056,27813,27535
Gouveia,14444,14212,13994,13774,13553,13360,13192,13019
Guarda,42970,42748,42371,41838,41272,40784,40406,40048
Manteigas,3563,3484,3423,3374,3322,3268,3219,3169
Mêda,5378,5275,5169,5072,4984,4905,4835,4771
Pinhel,9882,9726,9575,9419,9270,9146,9035,8913
Sabugal,12958,12713,12471,12249,12030,11801,11588,11366
Seia,25285,24930,24612,24294,23958,23652,23419,23178
Trancoso,10090,9986,9869,9741,9602,9474,9378,9277
Alcochete,16861,17329,17740,18046,18293,18534,18733,18914
Almada,172394,173634,173906,172890,171481,170448,169914,169510
Amadora,175324,175208,175440,175685,175493,175653,176298,177407
Barreiro,79034,78969,78744,78258,77577,76994,76604,76206
Cascais,201258,204767,207187,208123,208418,208945,209869,210625
Lisboa,550466,549210,542917,530847,520549,513064,506892,504718
Loures,204251,204740,206025,207553,205580,203906,205283,206719
Mafra,73184,75499,77452,78765,79772,80723,81580,82271
Moita,66376,66176,66091,65978,65632,65361,65196,64936
Montijo,49359,50593,51777,52790,53586,54270,54877,55448
Odivelas,142710,143851,145707,147881,149902,151926,153651,155273
Oeiras,170876,171786,172478,172793,172689,172758,173149,173794
Palmela,61474,62395,63144,63553,63723,63886,64065,64128
Seixal,157217,157928,159261,160837,161976,163127,164181,164874
Sesimbra,47765,48928,49738,50092,50276,50469,50668,50853
Setúbal,120307,120950,121061,120332,119244,118428,117973,117380
Sintra,376377,377301,378733,379875,379860,380345,381728,383234
Vila Franca de Xira,134925,136224,137509,138426,138910,139514,140266,140729
Alcácer do Sal,13250,13119,13002,12827,12640,12463,12266,12085
Grândola,14937,14902,14896,14935,14970,14910,14772,14685
Odemira,26166,26138,26067,25923,25770,25568,25283,25026
Santiago do Cacém,30038,29886,29811,29832,29814,29647,29342,29115
Sines,14160,14225,14220,14131,14030,13901,13748,13672
Aljustrel,9454,9333,9212,9089,8973,8835,8672,8541
Almodôvar,7575,7501,7423,7349,7255,7143,7026,6927
Alvito,2551,2526,2522,2530,2545,2538,2502,2477
Barrancos,1857,1845,1822,1795,1775,1754,1728,1702
Beja,35982,35939,35760,35468,35172,34810,34372,34085
Castro Verde,7385,7325,7292,7293,7290,7256,7184,7114
Cuba,4904,4895,4891,4893,4877,4843,4788,4728
Ferreira do Alentejo,8389,8316,8267,8236,8209,8140,8028,7959
Mértola,7512,7374,7226,7063,6909,6761,6608,6479
Moura,15434,15268,15091,14907,14717,14525,14333,14161
Ourique,5538,5460,5372,5272,5183,5085,4969,4869
Serpa,15896,15756,15623,15519,15421,15282,15097,14907
Vidigueira,5980,5957,5921,5873,5821,5760,5688,5631
Almeirim,23231,23335,23432,23481,23469,23352,23169,23002
Alpiarça,7801,7747,7684,7623,7561,7460,7340,7249
Azambuja,21738,21818,21964,22192,22392,22408,22262,22221
Benavente,28205,28738,29186,29528,29796,29895,29878,29920
Cartaxo,24426,24485,24514,24513,24492,24367,24137,23980
Chamusca,10358,10215,10106,10019,9924,9816,9695,9575
Coruche,20248,20085,19882,19633,19357,19037,18725,18430
Golegã,5531,5488,5452,5412,5578,5710,5615,5542
Rio Maior,21243,21229,21211,21156,21087,20968,20788,20643
Salvaterra de Magos,21954,22113,22207,22210,22193,22077,21859,21661
Santarém,62687,62453,62049,61505,60740,59832,59047,58472
Alter do Chão,3653,3607,3572,3529,3482,3423,3346,3286
Arronches,3214,3193,3157,3130,3112,3071,3015,2970
Avis,4711,4627,4577,4550,4517,4473,4414,4363
Campo Maior,8484,8481,8449,8409,8377,8323,8247,8165
Castelo de Vide,3500,3450,3397,3334,3273,3216,3150,3087
Crato,3827,3766,3700,3627,3558,3487,3415,3339
Elvas,23151,23122,23000,22728,22406,22074,21737,21421
Fronteira,3493,3450,3394,3330,3259,3188,3121,3074
Gavião,4251,4185,4113,4023,3925,3808,3694,3589
Marvão,3628,3564,3506,3455,3402,3341,3268,3202
Monforte,3353,3343,3321,3287,3249,3196,3134,3084
Nisa,7661,7549,7412,7250,7091,6922,6737,6548
Ponte de Sor,17017,16846,16665,16468,16275,16055,15818,15599
Portalegre,25205,25060,24789,24416,24073,23720,23350,23049
Sousel,5224,5139,5057,4976,4904,4818,4718,4640
Alandroal,5989,5909,5828,5737,5634,5515,5404,5314
Arraiolos,7430,7388,7373,7357,7322,7253,7155,7082
Borba,7434,7381,7333,7281,7238,7176,7078,6992
Estremoz,14589,14415,14256,14065,13842,13621,13404,13231
Évora,56817,56716,56436,55921,55339,54662,53963,53474
Montemor-o-Novo,17717,17560,17377,17174,16962,16707,16443,16226
Mora,5146,5047,4944,4842,4737,4634,4534,4433
Mourão,2755,2696,2655,2633,2612,2589,2553,2520
Portel,6583,6488,6410,6354,6317,6254,6152,6060
Redondo,7101,7072,7025,6958,6882,6790,6693,6608
Reguengos de Monsaraz,10935,10880,10815,10753,10673,10553,10422,10309
Vendas Novas,11871,11864,11855,11842,11816,11737,11602,11499
Viana do Alentejo,5762,5760,5732,5665,5569,5465,5365,5289
Vila Viçosa,8443,8375,8306,8254,8213,8140,8039,7941
Albufeira,39377,40328,40574,40271,40119,40077,40232,40495
Alcoutim,3045,2968,2873,2771,2677,2587,2513,2443
Aljezur,5798,5865,5841,5756,5699,5651,5622,5612
Castro Marim,6734,6749,6695,6611,6566,6518,6472,6426
Faro,63721,64316,63886,62727,62015,61482,61117,61046
Lagoa,22661,22878,22892,22791,22767,22737,22755,22793
Lagos,30184,30767,30933,30791,30748,30717,30746,30746
Loulé,68946,70099,70324,69906,69508,69211,69342,69399
Monchique,6213,6124,5982,5821,5694,5592,5514,5431
Olhão,44682,45162,45279,45187,45209,45188,45214,45198
Portimão,54058,55128,55460,55237,55181,55191,55334,55446
São Brás de Alportel,10569,10638,10615,10555,10545,10535,10553,10556
Silves,36642,36993,36971,36752,36680,36599,36555,36512
Tavira,26055,26168,26038,25807,25689,25568,25463,25339
Vila do Bispo,5269,5269,5254,5231,5220,5209,5204,5199
Vila Real de Santo António,19007,19118,19111,19056,19062,19054,19065,19060
Vila do Porto,5586,5567,5575,5614,5648,5657,5651,5653
Lagoa [R.A.A.],14421,14428,14471,14556,14636,14667,14674,14705
Nordeste,5032,4988,4966,4986,5004,5001,4984,4965
Ponta Delgada,68562,68737,68821,68861,68822,68643,68460,68378
Povoação,6419,6361,6307,6272,6227,6175,6141,6106
Ribeira Grande,31558,31893,32177,32406,32587,32643,32673,32745
Vila Franca do Campo,11231,11216,11237,11289,11320,11309,11293,11278
Angra do Heroísmo,35610,35489,35359,35250,35109,34900,34679,34505
Vila da Praia da Vitória,21009,21033,21157,21360,21532,21604,21576,21544
Santa Cruz da Graciosa,4478,4431,4406,4410,4405,4382,4351,4320
Calheta [R.A.A.],3851,3809,3726,3619,3505,3409,3345,3295
Velas,5471,5436,5396,5368,5347,5315,5268,5229
Lajes do Pico,4758,4734,4715,4708,4701,4674,4638,4607
Madalena,6073,6060,6039,6041,6051,6023,5979,5953
São Roque do Pico,3432,3404,3393,3388,3371,3339,3310,3299
Horta,15036,15006,15007,15015,15004,14952,14867,14792
Lajes das Flores,1514,1514,1518,1524,1527,1521,1509,1499
Santa Cruz das Flores,2331,2309,2288,2269,2248,2226,2206,2197
Corvo,417,417,424,440,456,461,459,460
Calheta [R.A.M.],11671,11585,11472,11388,11334,11233,11111,10999
