"Anos","X2009","X2010","X2011","X2012"
"Mirandela",2889,2306,2180,2144
"Mogadouro",632,585,596,632
"Vila Flor",4780,400,527,429
"Vimioso",118,126,88,127
"Vinhais",416,389,407,400
"Alcobaça",6307,6298,8081,11488
"Alenquer",2771,3017,2777,2043
"Arruda dos Vinhos",618,679,355,909
"Bombarral",846,919,1060,2148
"Cadaval",941,882,946,848
"Caldas da Rainha",5546,8730,11335,11610
"Lourinhã",1802,3264,2348,2795
"Nazaré",1470,1163,1612,4319
"Óbidos",748,451,524,834
"Peniche",1840,1340,1962,1968
"Sobral de Monte Agraço",468,531,535,1132
"Torres Vedras",6531,7300,7784,8421
"Águeda",3961,4661,4915,5791
"Albergaria-a-Velha",2927,2145,1942,1790
"Anadia",2987,3275,4041,4187
"Aveiro",8068,9384,10122,9711
"Estarreja",870,1547,1784,2206
"Ílhavo",5092,5862,5690,5808
"Murtosa",870,853,952,714
"Oliveira do Bairro",1828,1818,1883,2052
"Ovar",8641,7444,6388,5931
"Sever do Vouga",820,985,901,969
"Vagos",2726,3016,3341,3654
"Arganil",1337,1293,1661,1485
"Cantanhede",7299,6331,6446,5730
"Coimbra",19788,18826,19636,18752
"Condeixa-a-Nova",2638,2360,2254,2173
"Figueira da Foz",3987,7583,5429,6191
"Góis",347,364,443,575
"Lousã",2591,1247,1723,1264
"Mealhada",2491,3092,4239,3230
"Mira",926,784,857,651
"Miranda do Corvo",1227,1286,1084,1131
"Montemor-o-Velho",3987,3347,3671,3410
"Mortágua",656,951,1106,864
"Oliveira do Hospital",1343,1350,1213,870
"Pampilhosa da Serra",425,136,600,398
"Penacova",2850,3353,3575,4491
"Penela",760,789,609,753
"Soure",3568,2467,2767,2707
"Tábua",1560,1366,1293,1069
"Vila Nova de Poiares",839,798,621,834
"Alvaiázere",510,357,465,410
"Ansião",1129,960,885,840
"Batalha",1242,1015,1279,1740
"Castanheira de Pêra",214,194,373,239
"Figueiró dos Vinhos",1324,937,900,676
"Leiria",16999,16856,16796,14987
"Marinha Grande",3427,2993,2323,2393
"Pedrógão Grande",932,944,491,295
"Pombal",6834,6576,7652,5809
"Porto de Mós",1676,1565,1483,1764
"Aguiar da Beira",479,430,428,443
"Carregal do Sal",639,650,487,514
"Castro Daire",1488,755,1981,1916
"Mangualde",1624,1650,1989,1364
"Nelas",1240,1248,1183,1467
"Oliveira de Frades",1188,1144,742,790
"Penalva do Castelo",455,448,491,449
"Santa Comba Dão",1290,1270,1287,1196
"São Pedro do Sul",1935,1132,2036,1771
"Sátão",767,531,801,635
"Tondela",1533,1925,1895,1855
"Vila Nova de Paiva",333,392,370,383
"Viseu",13358,15432,16212,15105
"Vouzela",1030,852,1105,1079
"Castelo Branco",3886,6140,6049,8769
"Idanha-a-Nova",716,1076,1057,740
"Oleiros",415,165,415,317
"Penamacor",394,452,695,427
"Proença-a-Nova",1299,1232,1503,1209
"Vila Velha de Ródão",247,209,364,248
"Abrantes",1884,1869,2296,2579
"Alcanena",851,899,1306,903
"Constância",221,272,388,715
"Entroncamento",1488,1726,2710,2687
"Ferreira do Zêzere",517,576,485,544
"Mação",449,432,436,511
"Ourém",2520,3250,4099,3399
"Sardoal",192,137,138,256
"Sertã",1568,1681,1855,1814
"Tomar",3025,4049,5500,5403
"Torres Novas",2482,3153,3269,3411
"Vila de Rei",211,215,273,278
"Vila Nova da Barquinha",929,965,1033,1034
"Almeida",695,628,449,739
"Belmonte",719,533,603,825
"Celorico da Beira",935,824,1148,1601
"Covilhã",8080,7915,8282,7872
"Figueira de Castelo Rodrigo",457,638,571,953
"Fornos de Algodres",1166,1255,1354,1161
"Fundão",1735,1329,1281,1571
"Gouveia",1637,1841,1316,1485
"Guarda",3590,5099,6187,5574
"Manteigas",89,50,40,79
"Mêda",343,429,628,785
"Pinhel",688,664,767,1203
"Sabugal",179,207,188,882
"Seia",680,532,429,917
"Trancoso",230,155,243,342
"Alcochete",1045,732,837,945
"Almada",22620,20822,22590,23159
"Amadora",12368,11675,13909,15337
"Barreiro",8394,10115,11271,13703
"Cascais",9364,10958,12622,14997
"Lisboa",42422,47595,43637,47073
"Loures",15334,17791,24845,27867
"Mafra",5656,4594,5251,7204
"Moita",7389,7770,7767,7448
"Montijo",3406,3538,3329,5417
"Odivelas",8537,9777,9318,11448
"Oeiras",14165,15775,14404,13895
"Palmela",6665,8562,9405,11029
"Seixal",11839,17011,19034,18469
"Sesimbra",1625,2706,3882,3648
"Setúbal",12604,12426,12857,14889
"Sintra",28414,32060,38077,40070
"Vila Franca de Xira",3926,5656,4510,3271
"Alcácer do Sal",975,1176,1288,1004
"Grândola",1045,1022,1569,1314
"Odemira",1973,1699,1751,1099
