"Anos","X2009","X2010","X2011","X2012"
"Proença-a-Nova",4660,1724,1892,1657
"Vila Velha de Ródão",950,616,678,550
"Abrantes",10046,8490,8107,8240
"Alcanena",7188,4683,5637,4969
"Constância",1323,1275,1363,1478
"Entroncamento",5866,4959,6513,7333
"Ferreira do Zêzere",4254,2213,2270,1885
"Mação",1484,1029,1219,1610
"Ourém",20646,11694,12516,11694
"Sardoal",982,779,759,956
"Sertã",5189,4436,3809,3117
"Tomar",13783,10074,10307,9646
"Torres Novas",10296,7539,7047,7505
"Vila de Rei",920,752,710,716
"Vila Nova da Barquinha",3648,3277,3473,3421
"Almeida",1167,1149,1011,1242
"Belmonte",1245,1176,1139,1484
"Celorico da Beira",2612,2324,2415,3418
"Covilhã",10837,9943,8740,8472
"Figueira de Castelo Rodrigo",1161,1046,903,884
"Fornos de Algodres",583,1569,1517,1895
"Fundão",5458,4087,3885,3898
"Gouveia",3681,3527,3628,3244
"Guarda",10635,10646,10631,10723
"Manteigas",901,783,691,639
"Mêda",1245,1116,1047,1085
"Pinhel",1900,1702,1763,1754
"Sabugal",1272,1153,1124,1047
"Seia",6047,5525,5234,5108
"Trancoso",1895,1855,1801,1644
"Alcochete",6454,2301,2213,2427
"Almada",82761,55789,54867,53325
"Amadora",51164,43799,43980,41515
"Barreiro",27390,20834,23507,25118
"Cascais",49050,38871,45642,49511
"Lisboa",133950,114308,113953,115531
"Loures",52386,49647,55891,57594
"Mafra",14990,17110,18893,18745
"Moita",26093,15935,14973,14605
"Montijo",13452,8873,8373,8162
"Odivelas",25201,23674,25675,27303
"Oeiras",46966,41177,41600,42024
"Palmela",21745,13743,13335,13085
"Seixal",50501,50121,52350,52535
"Sesimbra",10310,11569,11684,12056
"Setúbal",41702,20381,20316,24116
"Sintra",124642,100239,108739,105048
"Vila Franca de Xira",47321,37224,38581,41290
"Alcácer do Sal",2382,2455,2801,2479
"Grândola",2177,5524,4086,3223
"Odemira",3976,5349,5956,4689
"Santiago do Cacém",4277,4776,4652,4760
"Sines",2593,4771,4592,4193
"Aljustrel",2439,3264,4337,4571
"Almodôvar",1462,1793,2502,1461
"Alvito",940,929,902,915
"Barrancos",1125,704,871,626
"Beja",10622,10606,11552,13677
"Castro Verde",2369,2025,1917,1967
"Cuba",1265,1263,1202,1025
"Ferreira do Alentejo",1649,1699,1896,3048
"Mértola",1784,1472,1746,1495
"Moura",3323,2922,2429,2925
"Ourique",1218,1599,2201,1901
"Serpa",5152,4651,4944,4983
