"X","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Vila Nova da Barquinha",3,3,3,2,2,2,2,3
"Almeida",6,6,10,10,10,11,11,12
"Belmonte",2,2,5,5,5,5,3,3
"Celorico da Beira",1,1,1,1,1,1,1,1
"Covilhã",74,75,78,71,73,82,83,87
"Figueira de Castelo Rodrigo",6,7,9,8,8,8,9,9
"Fornos de Algodres",4,4,4,7,8,9,9,10
"Fundão",15,15,18,17,15,16,15,19
"Gouveia",11,13,12,8,6,9,9,9
"Guarda",62,66,66,63,69,82,93,102
"Manteigas",2,3,3,3,2,2,2,2
"Mêda",2,2,3,4,4,4,4,4
"Pinhel",5,7,6,5,6,6,8,9
"Sabugal",7,7,7,8,8,8,8,9
"Seia",27,26,24,23,28,32,35,34
"Trancoso",7,9,10,10,11,14,15,18
"Alcochete",14,16,16,15,15,14,15,15
"Almada",225,228,244,228,228,247,278,283
"Amadora",212,219,227,227,226,227,242,243
"Barreiro",75,77,76,79,72,76,82,89
"Cascais",426,451,468,483,499,501,524,542
"Lisboa",2403,2489,2575,2603,2628,2711,2781,2908
"Loures",252,262,257,252,205,213,213,224
"Mafra",50,54,64,68,65,63,66,69
"Moita",30,34,29,24,25,30,32,29
"Montijo",35,39,43,47,47,53,57,59
"Odivelas",217,235,236,234,218,217,218,223
"Oeiras",507,509,505,498,501,507,508,518
"Palmela",48,48,44,43,48,50,63,66
"Seixal",103,97,99,97,106,125,128,140
"Sesimbra",28,32,35,34,34,32,37,41
"Setúbal",153,154,165,165,159,165,172,186
"Sintra",383,383,393,408,407,422,445,453
"Vila Franca de Xira",96,98,95,94,91,95,100,107
"Alcácer do Sal",3,3,4,7,7,8,6,9
"Grândola",5,4,2,4,6,8,8,9
"Odemira",9,9,9,16,19,20,21,19
"Santiago do Cacém",23,29,32,32,35,39,44,43
"Sines",13,15,16,18,19,20,17,18
"Aljustrel",6,9,9,7,7,6,7,9
"Almodôvar",2,2,1,4,5,9,9,9
"Alvito",2,4,2,1,1,2,2,3
"Barrancos",1,1,2,3,2,2,2,2
"Beja",55,58,55,60,58,70,67,69
"Castro Verde",2,2,3,3,3,1,1,1
"Cuba",3,2,2,2,2,2,2,4
"Ferreira do Alentejo",3,2,3,3,4,5,6,5
"Mértola",1,0,0,2,2,2,3,4
"Moura",14,15,16,17,17,22,21,22
"Ourique",2,2,2,3,3,4,2,2
"Serpa",6,7,8,9,9,11,13,10
"Vidigueira",5,4,4,4,3,3,3,5
"Almeirim",8,9,11,8,10,13,13,10
"Alpiarça",5,6,5,6,7,9,6,6
"Azambuja",9,9,12,11,7,6,6,5
"Benavente",7,8,9,11,12,13,15,15
"Cartaxo",17,19,19,16,16,16,17,17
"Chamusca",4,4,5,7,4,7,6,6
"Coruche",3,4,6,8,9,12,14,15
"Golegã",3,3,4,4,4,4,4,4
"Rio Maior",8,9,9,9,9,10,10,10
"Salvaterra de Magos",8,7,10,11,10,13,13,16
"Santarém",60,65,72,78,79,82,93,101
"Alter do Chão",0,1,2,3,3,2,2,2
"Arronches",2,2,2,4,4,4,4,4
"Avis",3,2,2,2,2,2,1,1
"Campo Maior",38,37,34,33,33,32,32,29
"Castelo de Vide",5,6,6,6,5,5,5,5
"Crato",1,1,1,1,1,2,2,2
"Elvas",52,54,53,54,49,55,54,62
"Fronteira",0,0,0,0,0,0,0,1
"Gavião",0,0,0,0,0,0,0,0
"Marvão",3,3,4,3,3,3,3,4
"Monforte",3,3,3,3,3,3,3,3
"Nisa",5,5,5,5,5,5,5,7
"Ponte de Sor",13,17,16,16,15,16,20,18
"Portalegre",46,49,44,46,45,41,39,36
"Sousel",2,2,4,4,5,5,4,4
"Alandroal",3,3,2,3,4,4,3,4
"Arraiolos",2,2,2,3,5,4,3,4
"Borba",2,2,2,3,4,4,5,4
"Estremoz",10,12,11,13,15,12,15,15
"Évora",94,111,109,123,143,139,140,153
"Montemor-o-Novo",7,7,6,5,7,8,10,10
"Mora",3,3,3,3,3,3,4,4
"Mourão",1,1,1,0,0,0,0,0
"Portel",2,2,3,6,6,6,6,5
"Redondo",2,3,2,2,3,3,3,4
"Reguengos de Monsaraz",3,2,2,2,2,2,2,5
"Vendas Novas",12,13,12,13,12,13,13,14
"Viana do Alentejo",4,4,4,3,3,3,3,5
"Vila Viçosa",6,8,8,9,12,10,12,11
"Albufeira",36,39,45,45,43,45,45,48
"Alcoutim",5,5,5,4,3,2,3,5
"Aljezur",5,6,6,9,9,10,9,10
"Castro Marim",7,8,8,9,8,8,10,11
"Faro",202,215,211,202,201,198,202,210
"Lagoa",41,40,43,43,40,39,43,45
"Lagos",30,33,43,44,45,48,49,51
"Loulé",52,57,67,72,72,82,87,91
"Monchique",3,3,3,4,4,4,6,6
"Olhão",34,38,37,33,32,34,38,42
"Portimão",117,116,125,120,131,130,142,145
"São Brás de Alportel",13,14,15,15,15,18,18,19
"Silves",16,20,22,24,20,25,27,28
"Tavira",30,29,30,31,32,31,33,37
"Vila do Bispo",3,2,4,2,2,2,2,2
"Vila Real de Santo António",19,20,20,22,22,22,18,19
"Vila do Porto",6,6,7,5,6,5,6,5
"Lagoa [R.A.A.]",8,10,11,9,11,11,13,13
"Nordeste",4,4,3,3,3,2,2,2
"Ponta Delgada",83,89,103,114,119,134,149,172
"Povoação",1,1,1,2,3,3,5,5
"Ribeira Grande",17,18,22,25,25,25,28,31
"Vila Franca do Campo",4,5,5,6,8,11,11,11
"Angra do Heroísmo",33,33,33,32,32,38,44,46
"Vila da Praia da Vitória",22,23,25,28,32,32,32,32
"Santa Cruz da Graciosa",1,2,1,0,0,0,1,1
"Calheta [R.A.A.]",1,2,2,2,1,1,1,0
"Velas",5,5,5,5,5,6,7,7
"Lajes do Pico",3,3,4,5,5,7,8,9
"Madalena",2,3,2,2,2,2,2,1
"São Roque do Pico",1,2,2,1,2,3,3,2
"Horta",12,13,15,14,13,11,11,10
"Lajes das Flores",0,0,0,0,0,0,0,0
"Santa Cruz das Flores",1,1,1,1,1,1,2,3
"Corvo",1,1,1,1,1,1,1,1
"Calheta [R.A.M.]",2,2,1,2,2,2,2,3
"Câmara de Lobos",9,11,12,12,16,22,27,32
"Funchal",178,182,178,183,190,223,258,290
"Machico",12,16,18,18,15,18,19,20
"Ponta do Sol",3,1,1,2,2,4,4,6
"Porto Moniz",0,0,0,1,2,2,4,2
"Ribeira Brava",2,4,4,5,4,7,15,19
"Santa Cruz",29,29,31,34,35,40,46,47
"Santana",5,1,3,3,3,3,4,4
"São Vicente",1,3,3,3,3,4,4,3
"Porto Santo",0,0,1,1,1,2,2,3
